Accession Id,Artist,Credit Line,Display Dimensions,Geometry,Location Description,Medium,Source,Title,Location
2000.2,"Kricken, John and Rolph",Commissioned for the Roald Amundsen Monument,,"(-122.5108707,37.7704354)","Public Display : District 1 : GGP, JFK at Great Highway",bronze,San Francisco Arts Commission,Amundsen Historical Plaque,
1984.8,"Kunishima, Seiji",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,12' H X 4 1/4' W X 3 1/2' D,"(-122.389979,37.615223)",Airport : Terminal 2 : Ticketing Lobby : Connector to Terminal 1,Nose Stone,San Francisco Arts Commission,Stacking Stones,
1936.2,"Labaudt, Lucien",WPA Mural Project for the Beach Chalet at Golden Gate Park,,"(-122.510284,37.767879)","Public Display : District 1 : GGP, Beach Chalet",Fresco,San Francisco Arts Commission,People and Places of San Francisco,
1936.3.1,"Labaudt, Lucien",WPA Mural Project for Washington High School,66 in. x 324 in.,"(-122.4194155,37.7749295)","Public Display : District 1 : Washington High School, Library",Fresco panel,San Francisco Arts Commission,Advancement of Learning through the Printing Press,
1934.21,"Labaudt, Lucien",Commissioned for Coit Tower,72 in. x 384 in.,"(-122.4058194,37.8023686)",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,Powell Street,
1984.14,"Lands, Christine Marie",,,"(-122.4194155,37.7749295)","Public Display : District 1 : Presidio Library, reading room",Acrylic,San Francisco Arts Commission,Before the Revolution,
1980.4,"Lane, Christopher",Purchased by the San Francisco Art Commission for the San Francisco International Airport.,"71"" H X 79"" W","(-122.389979,37.615223)",Airport : T3 : Mezzanine,Oil ,San Francisco Arts Commission,Night Passage,
1934.15,"Langdon, Gordon",Commissioned for Coit Tower,,"(-122.4058194,37.8023686)",Public Display : District 3 : Coit Tower,Fresco,San Francisco Arts Commission,California Agricultural Industry,
1952.21,"Leong, James",Commissioned by the San Francisco Housing Authority for the Chinese Health Center,,"(-122.4194155,37.7749295)","Public Display : District 3 : Chinese Cultrural Center, 750 Kearney",egg tempera,San Francisco Arts Commission,100 Years of Progress of Chinese in America,
1999.18,"Leong, Lampo",Commissioned for art enrichment by the Public Art Program,26' diameter,"(-122.4194155,37.7749295)",Public Display : District 3 : Woh Hei Yuen Park : Powell St. Between Jackson and,"black, yellow and red granite",San Francisco Arts Commission,Tectonic Melange,
